Year,Month,Pages,Books
2019,Jan-19,269,1
2019,Feb-19,160,1
2019,Mar-19,426,1
2019,Apr-19,544,2
2019,May-19,,
2019,Jun-19,592,1
2019,Jul-19,1234,6
2019,Aug-19,1921,8
2019,Sep-19,3590,12
2019,Oct-19,3737,12
2019,Nov-19,1337,5
2019,Dec-19,1112,4
2020,Jan-20,2689,11
2020,Feb-20,945,4
2020,Mar-20,705,2
2020,Apr-20,1471,5
2020,May-20,2527,7
2020,Jun-20,274,1
2020,Jul-20,2409,5
2020,Aug-20,3520,11
2020,Sep-20,1302,4
